word,category,weight
moaning,sad,2
moans,sad,2
mock,sad,2
mocked,sad,2
mocking,sad,2
mocks,sad,2
mongering,sad,2
monopolize,sad,2
monopolized,sad,2
monopolizes,sad,2
monopolizing,sad,2
moody,sad,1
mope,sad,1
moping,sad,1
moron,sad,3
motherfucker,sad,5
motherfucking,sad,5
motivate,happy,1
motivated,happy,2
motivating,happy,2
motivation,happy,1
mourn,sad,2
mourned,sad,2
mournful,sad,2
mourning,sad,2
mourns,sad,2
mumpish,sad,2
murder,sad,2
murderer,sad,2
murdering,sad,3
murderous,sad,3
murders,sad,2
myth,sad,1
naive,sad,2
nasty,sad,3
natural,happy,1
needy,sad,2
negative,sad,2
negativity,sad,2
neglect,sad,2
neglected,sad,2
neglecting,sad,2
neglects,sad,2
nerves,sad,1
nervous,sad,2
nervously,sad,2
nice,happy,3
nifty,happy,2
niggas,sad,5
nigger,sad,5
no,sad,1
noble,happy,2
noisy,sad,1
nonsense,sad,2
noob,sad,2
nosey,sad,2
notorious,sad,2
novel,happy,2
numb,sad,1
nuts,sad,3
obliterate,sad,2
obliterated,sad,2
obnoxious,sad,3
obscene,sad,2
obsessed,happy,2
obsolete,sad,2
obstacle,sad,2
obstacles,sad,2
obstinate,sad,2
odd,sad,2
offend,sad,2
offended,sad,2
offender,sad,2
offending,sad,2
offends,sad,2
offline,sad,1
oks,happy,2
ominous,happy,3
opportunities,happy,2
opportunity,happy,2
oppressed,sad,2
oppressive,sad,2
optimism,happy,2
optimistic,happy,2
optionless,sad,2
outcry,sad,2
outmaneuvered,sad,2
outrage,sad,3
outraged,sad,3
outreach,happy,2
outstanding,happy,5
overjoyed,happy,4
overload,sad,1
overlooked,sad,1
overreact,sad,2
overreacted,sad,2
overreaction,sad,2
overreacts,sad,2
oversell,sad,2
overselling,sad,2
oversells,sad,2
oversimplification,sad,2
oversimplified,sad,2
oversimplifies,sad,2
oversimplify,sad,2
overstatement,sad,2
overstatements,sad,2
overweight,sad,1
oxymoron,sad,1
pain,sad,2
pained,sad,2
panic,sad,3
panicked,sad,3
panics,sad,3
paradise,happy,3
paradox,sad,1
pardon,happy,2
pardoned,happy,2
pardoning,happy,2
pardons,happy,2
parley,sad,1
passionate,happy,2
passive,sad,1
passively,sad,1
pathetic,sad,2
pay,sad,1
peace,happy,2
peaceful,happy,2
peacefully,happy,2
penalty,sad,2
pensive,sad,1
perfect,happy,3
perfected,happy,2
perfectly,happy,3
perfects,happy,2
peril,sad,2
perjury,sad,3
perpetrator,sad,2
perpetrators,sad,2
perplexed,sad,2
persecute,sad,2
persecuted,sad,2
persecutes,sad,2
persecuting,sad,2
perturbed,sad,2
pesky,sad,2
pessimism,sad,2
pessimistic,sad,2
petrified,sad,2
phobic,sad,2
picturesque,happy,2
pileup,sad,1
pique,sad,2
piqued,sad,2
piss,sad,4
pissed,sad,4
pissing,sad,3
piteous,sad,2
pitied,sad,1
pity,sad,2
playful,happy,2
pleasant,happy,3
please,happy,1
pleased,happy,3
pleasure,happy,3
poised,sad,2
poison,sad,2
poisoned,sad,2
poisons,sad,2
pollute,sad,2
polluted,sad,2
polluter,sad,2
polluters,sad,2
pollutes,sad,2
poor,sad,2
poorer,sad,2
poorest,sad,2
popular,happy,3
positive,happy,2
positively,happy,2
possessive,sad,2
postpone,sad,1
postponed,sad,1
postpones,sad,1
postponing,sad,1
poverty,sad,1
powerful,happy,2
powerless,sad,2
praise,happy,3
praised,happy,3
praises,happy,3
praising,happy,3
pray,happy,1
praying,happy,1
prays,happy,1
prblm,sad,2
prblms,sad,2
prepared,happy,1
pressure,sad,1
pressured,sad,2
pretend,sad,1
pretending,sad,1
pretends,sad,1
pretty,happy,1
prevent,sad,1
prevented,sad,1
preventing,sad,1
prevents,sad,1
prick,sad,5
prison,sad,2
prisoner,sad,2
prisoners,sad,2
privileged,happy,2
proactive,happy,2
problem,sad,2
problems,sad,2
profiteer,sad,2
progress,happy,2
prominent,happy,2
promise,happy,1
promised,happy,1
promises,happy,1
promote,happy,1
promoted,happy,1
promotes,happy,1
promoting,happy,1
propaganda,sad,2
prosecute,sad,1
prosecuted,sad,2
prosecutes,sad,1
prosecution,sad,1
prospect,happy,1
prospects,happy,1
prosperous,happy,3
protect,happy,1
protected,happy,1
protects,happy,1
protest,sad,2
protesters,sad,2
protesting,sad,2
protests,sad,2
proud,happy,2
proudly,happy,2
provoke,sad,1
provoked,sad,1
provokes,sad,1
provoking,sad,1
pseudoscience,sad,3
punish,sad,2
punished,sad,2
punishes,sad,2
punitive,sad,2
pushy,sad,1
puzzled,sad,2
quaking,sad,2
questionable,sad,2
questioned,sad,1
questioning,sad,1
racism,sad,3
racist,sad,3
racists,sad,3
rage,sad,2
rageful,sad,2
rainy,sad,1
rant,sad,3
ranter,sad,3
ranters,sad,3
rants,sad,3
rape,sad,4
rapist,sad,4
rapture,happy,2
raptured,happy,2
raptures,happy,2
rapturous,happy,4
rash,sad,2
ratified,happy,2
reach,happy,1
reached,happy,1
reaches,happy,1
reaching,happy,1
reassure,happy,1
reassured,happy,1
reassures,happy,1
reassuring,happy,2
rebellion,sad,2
recession,sad,2
reckless,sad,2
recommend,happy,2
recommended,happy,2
recommends,happy,2
redeemed,happy,2
refuse,sad,2
refused,sad,2
refusing,sad,2
regret,sad,2
regretful,sad,2
regrets,sad,2
regretted,sad,2
regretting,sad,2
reject,sad,1
rejected,sad,1
rejecting,sad,1
rejects,sad,1
rejoice,happy,4
rejoiced,happy,4
rejoices,happy,4
rejoicing,happy,4
relaxed,happy,2
relentless,sad,1
reliant,happy,2
relieve,happy,1
relieved,happy,2
relieves,happy,1
relieving,happy,2
relishing,happy,2
remarkable,happy,2
remorse,sad,2
repulse,sad,1
repulsed,sad,2
rescue,happy,2
rescued,happy,2
rescues,happy,2
resentful,sad,2
resign,sad,1
resigned,sad,1
resigning,sad,1
resigns,sad,1
resolute,happy,2
resolve,happy,2
resolved,happy,2
resolves,happy,2
resolving,happy,2
respected,happy,2
responsible,happy,2
responsive,happy,2
restful,happy,2
restless,sad,2
restore,happy,1
restored,happy,1
restores,happy,1
restoring,happy,1
restrict,sad,2
restricted,sad,2
restricting,sad,2
restriction,sad,2
restricts,sad,2
retained,sad,1
retard,sad,2
retarded,sad,2
retreat,sad,1
revenge,sad,2
revengeful,sad,2
revered,happy,2
revive,happy,2
revives,happy,2
reward,happy,2
rewarded,happy,2
rewarding,happy,2
rewards,happy,2
rich,happy,2
ridiculous,sad,3
rig,sad,1
rigged,sad,1
rigorous,happy,3
rigorously,happy,3
riot,sad,2
riots,sad,2
risk,sad,2
risks,sad,2
rob,sad,2
robber,sad,2
robed,sad,2
robing,sad,2
robs,sad,2
robust,happy,2
rofl,happy,4
roflcopter,happy,4
roflmao,happy,4
romance,happy,2
rotfl,happy,4
rotflmfao,happy,4
rotflol,happy,4
ruin,sad,2
ruined,sad,2
ruining,sad,2
ruins,sad,2
sabotage,sad,2
sad,sad,2
sadden,sad,2
saddened,sad,2
sadly,sad,2
safe,happy,1
safely,happy,1
safety,happy,1
salient,happy,1
sappy,sad,1
sarcastic,sad,2
satisfied,happy,2
save,happy,2
saved,happy,2
scam,sad,2
scams,sad,2
scandal,sad,3
scandalous,sad,3
scandals,sad,3
scapegoat,sad,2
scapegoats,sad,2
scare,sad,2
scared,sad,2
scary,sad,2
sceptical,sad,2
scold,sad,2
scoop,happy,3
scorn,sad,2
scornful,sad,2
scream,sad,2
screamed,sad,2
screaming,sad,2
screams,sad,2
screwed,sad,2
scumbag,sad,4
secure,happy,2
secured,happy,2
secures,happy,2
sedition,sad,2
seditious,sad,2
seduced,sad,1
selfish,sad,3
selfishness,sad,3
sentence,sad,2
sentenced,sad,2
sentences,sad,2
sentencing,sad,2
serene,happy,2
severe,sad,2
sexy,happy,3
shaky,sad,2
shame,sad,2
shamed,sad,2
shameful,sad,2
share,happy,1
shared,happy,1
shares,happy,1
shattered,sad,2
shit,sad,4
shithead,sad,4
shitty,sad,3
shock,sad,2
shocked,sad,2
shocking,sad,2
shocks,sad,2
shoot,sad,1
shortage,sad,2
shortages,sad,2
shrew,sad,4
shy,sad,1
sick,sad,2
sigh,sad,2
significance,happy,1
significant,happy,1
silencing,sad,1
silly,sad,1
sincere,happy,2
sincerely,happy,2
sincerest,happy,2
sincerity,happy,2
sinful,sad,3
singleminded,sad,2
skeptic,sad,2
skeptical,sad,2
skepticism,sad,2
skeptics,sad,2
slam,sad,2
slash,sad,2
slashed,sad,2
slashes,sad,2
slashing,sad,2
slavery,sad,3
sleeplessness,sad,2
slick,happy,2
slicker,happy,2
slickest,happy,2
sluggish,sad,2
slut,sad,5
smart,happy,1
smarter,happy,2
smartest,happy,2
smear,sad,2
smile,happy,2
smiled,happy,2
smiles,happy,2
smiling,happy,2
smog,sad,2
sneaky,sad,1
snub,sad,2
snubbed,sad,2
snubbing,sad,2
snubs,sad,2
sobering,happy,1
solemn,sad,1
solid,happy,2
solidarity,happy,2
solution,happy,1
solutions,happy,1
solve,happy,1
solved,happy,1
solves,happy,1
solving,happy,1
somber,sad,2
soothe,happy,3
soothed,happy,3
soothing,happy,3
sophisticated,happy,2
sore,sad,1
sorrow,sad,2
sorrowful,sad,2
sorry,sad,1
spam,sad,2
spammer,sad,3
spammers,sad,3
spamming,sad,2
spark,happy,1
sparkle,happy,3
sparkles,happy,3
sparkling,happy,3
speculative,sad,2
spirit,happy,1
spirited,happy,2
spiritless,sad,2
spiteful,sad,2
splendid,happy,3
sprightly,happy,2
squelched,sad,1
stab,sad,2
stabbed,sad,2
stable,happy,2
stabs,sad,2
stall,sad,2
stalled,sad,2
stalling,sad,2
stamina,happy,2
stampede,sad,2
startled,sad,2
starve,sad,2
starved,sad,2
starves,sad,2
starving,sad,2
steadfast,happy,2
steal,sad,2
steals,sad,2
stereotype,sad,2
stereotyped,sad,2
stifled,sad,1
stimulate,happy,1
stimulated,happy,1
stimulates,happy,1
stimulating,happy,2
stingy,sad,2
stolen,sad,2
stop,sad,1
stopped,sad,1
stopping,sad,1
stops,sad,1
stout,happy,2
straight,happy,1
strange,sad,1
strangely,sad,1
strangled,sad,2
strength,happy,2
strengthen,happy,2
strengthened,happy,2
strengthening,happy,2
strengthens,happy,2
stressed,sad,2
stressor,sad,2
stressors,sad,2
stricken,sad,2
strike,sad,1
strikers,sad,2
strikes,sad,1
strong,happy,2
stronger,happy,2
strongest,happy,2
struck,sad,1
struggle,sad,2
struggled,sad,2
struggles,sad,2
struggling,sad,2
stubborn,sad,2
stuck,sad,2
stunned,sad,2
stunning,happy,4
stupid,sad,2
stupidly,sad,2
suave,happy,2
substantial,happy,1
substantially,happy,1
subversive,sad,2
success,happy,2
successful,happy,3
suck,sad,3
sucks,sad,3
suffer,sad,2
suffering,sad,2
suffers,sad,2
suicidal,sad,2
suicide,sad,2
suing,sad,2
sulking,sad,2
sulky,sad,2
sullen,sad,2
sunshine,happy,2
super,happy,3
superb,happy,5
superior,happy,2
support,happy,2
supported,happy,2
supporter,happy,1
supporters,happy,1
supporting,happy,1
supportive,happy,2
supports,happy,2
survived,happy,2
surviving,happy,2
survivor,happy,2
suspect,sad,1
suspected,sad,1
suspecting,sad,1
suspects,sad,1
suspend,sad,1
suspended,sad,1
suspicious,sad,2
swear,sad,2
swearing,sad,2
swears,sad,2
sweet,happy,2
swift,happy,2
swiftly,happy,2
swindle,sad,3
swindles,sad,3
swindling,sad,3
sympathetic,happy,2
sympathy,happy,2
tard,sad,2
tears,sad,2
tender,happy,2
tense,sad,2
tension,sad,1
terrible,sad,3
terribly,sad,3
terrific,happy,4
terrified,sad,3
terror,sad,3
terrorize,sad,3
terrorized,sad,3
terrorizes,sad,3
thank,happy,2
thankful,happy,2
thanks,happy,2
thorny,sad,2
thoughtful,happy,2
thoughtless,sad,2
threat,sad,2
threaten,sad,2
threatened,sad,2
threatening,sad,2
threatens,sad,2
threats,sad,2
thrilled,happy,5
thwart,sad,2
thwarted,sad,2
thwarting,sad,2
thwarts,sad,2
timid,sad,2
timorous,sad,2
tired,sad,2
tits,sad,2
tolerant,happy,2
toothless,sad,2
top,happy,2
tops,happy,2
torn,sad,2
torture,sad,4
tortured,sad,4
tortures,sad,4
torturing,sad,4
totalitarian,sad,2
totalitarianism,sad,2
tout,sad,2
touted,sad,2
touting,sad,2
touts,sad,2
tragedy,sad,2
tragic,sad,2
tranquil,happy,2
trap,sad,1
trapped,sad,2
trauma,sad,3
traumatic,sad,3
travesty,sad,2
treason,sad,3
treasonous,sad,3
treasure,happy,2
treasures,happy,2
trembling,sad,2
tremulous,sad,2
tricked,sad,2
trickery,sad,2
triumph,happy,4
triumphant,happy,4
trouble,sad,2
troubled,sad,2
troubles,sad,2
true,happy,2
trust,happy,1
trusted,happy,2
tumor,sad,2
twat,sad,5
ugly,sad,3
unacceptable,sad,2
unappreciated,sad,2
unapproved,sad,2
unaware,sad,2
unbelievable,sad,1
unbelieving,sad,1
unbiased,happy,2
uncertain,sad,1
unclear,sad,1
uncomfortable,sad,2
unconcerned,sad,2
unconfirmed,sad,1
unconvinced,sad,1
uncredited,sad,1
undecided,sad,1
underestimate,sad,1
underestimated,sad,1
underestimates,sad,1
underestimating,sad,1
undermine,sad,2
undermined,sad,2
undermines,sad,2
undermining,sad,2
undeserving,sad,2
undesirable,sad,2
uneasy,sad,2
unemployment,sad,2
unequal,sad,1
unequaled,happy,2
unethical,sad,2
unfair,sad,2
unfocused,sad,2
unfulfilled,sad,2
unhappy,sad,2
unhealthy,sad,2
unified,happy,1
unimpressed,sad,2
unintelligent,sad,2
united,happy,1
unjust,sad,2
unlovable,sad,2
unloved,sad,2
unmatched,happy,1
unmotivated,sad,2
unprofessional,sad,2
unresearched,sad,2
unsatisfied,sad,2
unsecured,sad,2
unsettled,sad,1
unsophisticated,sad,2
unstable,sad,2
unstoppable,happy,2
unsupported,sad,2
unsure,sad,1
untarnished,happy,2
unwanted,sad,2
unworthy,sad,2
upset,sad,2
upsets,sad,2
upsetting,sad,2
uptight,sad,2
urgent,sad,1
useful,happy,2
usefulness,happy,2
useless,sad,2
uselessness,sad,2
vague,sad,2
validate,happy,1
validated,happy,1
validates,happy,1
validating,happy,1
verdict,sad,1
verdicts,sad,1
vested,happy,1
vexation,sad,2
vexing,sad,2
vibrant,happy,3
vicious,sad,2
victim,sad,3
victimize,sad,3
victimized,sad,3
victimizes,sad,3
victimizing,sad,3
victims,sad,3
vigilant,happy,3
vile,sad,3
vindicate,happy,2
vindicated,happy,2
vindicates,happy,2
vindicating,happy,2
violate,sad,2
violated,sad,2
violates,sad,2
violating,sad,2
violence,sad,3
violent,sad,3
virtuous,happy,2
virulent,sad,2
vision,happy,1
visionary,happy,3
visioning,happy,1
visions,happy,1
vitality,happy,3
vitamin,happy,1
vitriolic,sad,3
vivacious,happy,3
vociferous,sad,1
vulnerability,sad,2
vulnerable,sad,2
walkout,sad,2
walkouts,sad,2
wanker,sad,3
want,happy,1
war,sad,2
warfare,sad,2
warm,happy,1
warmth,happy,2
warn,sad,2
warned,sad,2
warning,sad,3
warnings,sad,3
warns,sad,2
waste,sad,1
wasted,sad,2
wasting,sad,2
wavering,sad,1
weak,sad,2
weakness,sad,2
wealth,happy,3
wealthy,happy,2
weary,sad,2
weep,sad,2
weeping,sad,2
weird,sad,2
welcome,happy,2
welcomed,happy,2
welcomes,happy,2
whimsical,happy,1
whitewash,sad,3
whore,sad,4
wicked,sad,2
widowed,sad,1
willingness,happy,2
win,happy,4
winner,happy,4
winning,happy,4
wins,happy,4
winwin,happy,3
wish,happy,1
wishes,happy,1
wishing,happy,1
withdrawal,sad,3
woebegone,sad,2
woeful,sad,3
won,happy,3
wonderful,happy,4
woo,happy,3
woohoo,happy,3
wooo,happy,4
woow,happy,4
worn,sad,1
worried,sad,3
worry,sad,3
worrying,sad,3
worse,sad,3
worsen,sad,3
worsened,sad,3
worsening,sad,3
worsens,sad,3
worshiped,happy,3
worst,sad,3
worth,happy,2
worthless,sad,2
worthy,happy,2
wow,happy,4
wowow,happy,4
wowww,happy,4
wrathful,sad,3
wreck,sad,2
wrong,sad,2
wronged,sad,2
wtf,sad,4
yeah,happy,1
yearning,happy,1
yeees,happy,2
yes,happy,1
youthful,happy,2
yucky,sad,2
yummy,happy,3
zealot,sad,2
zealots,sad,2
zealous,happy,2
