word,category,weight
cautious,sad,1
celebrate,happy,3
celebrated,happy,3
celebrates,happy,3
celebrating,happy,3
censor,sad,2
censored,sad,2
censors,sad,2
certain,happy,1
chagrin,sad,2
chagrined,sad,2
challenge,sad,1
chance,happy,2
chances,happy,2
chaos,sad,2
chaotic,sad,2
charged,sad,3
charges,sad,2
charm,happy,3
charming,happy,3
charmless,sad,3
chastise,sad,3
chastised,sad,3
chastises,sad,3
chastising,sad,3
cheat,sad,3
cheated,sad,3
cheater,sad,3
cheaters,sad,3
cheats,sad,3
cheer,happy,2
cheered,happy,2
cheerful,happy,2
cheering,happy,2
cheerless,sad,2
cheers,happy,2
cheery,happy,3
cherish,happy,2
cherished,happy,2
cherishes,happy,2
cherishing,happy,2
chic,happy,2
childish,sad,2
chilling,sad,1
choke,sad,2
choked,sad,2
chokes,sad,2
choking,sad,2
clarifies,happy,2
clarity,happy,2
clash,sad,2
classy,happy,3
clean,happy,2
cleaner,happy,2
clear,happy,1
cleared,happy,1
clearly,happy,1
clears,happy,1
clever,happy,2
clouded,sad,1
clueless,sad,2
cock,sad,5
cocksucker,sad,5
cocksuckers,sad,5
cocky,sad,2
coerced,sad,2
collapse,sad,2
collapsed,sad,2
collapses,sad,2
collapsing,sad,2
collide,sad,1
collides,sad,1
colliding,sad,1
collision,sad,2
collisions,sad,2
colluding,sad,3
combat,sad,1
combats,sad,1
comedy,happy,1
comfort,happy,2
comfortable,happy,2
comforting,happy,2
comforts,happy,2
commend,happy,2
commended,happy,2
commit,happy,1
commitment,happy,2
commits,happy,1
committed,happy,1
committing,happy,1
compassionate,happy,2
compelled,happy,1
competent,happy,2
competitive,happy,2
complacent,sad,2
complain,sad,2
complained,sad,2
complains,sad,2
comprehensive,happy,2
conciliate,happy,2
conciliated,happy,2
conciliates,happy,2
conciliating,happy,2
condemn,sad,2
condemnation,sad,2
condemned,sad,2
condemns,sad,2
confidence,happy,2
confident,happy,2
conflict,sad,2
conflicting,sad,2
conflictive,sad,2
conflicts,sad,2
confuse,sad,2
confused,sad,2
confusing,sad,2
congrats,happy,2
congratulate,happy,2
congratulation,happy,2
congratulations,happy,2
consent,happy,2
consents,happy,2
consolable,happy,2
conspiracy,sad,3
constrained,sad,2
contagion,sad,2
contagions,sad,2
contagious,sad,1
contempt,sad,2
contemptuous,sad,2
contemptuously,sad,2
contend,sad,1
contender,sad,1
contending,sad,1
contentious,sad,2
contestable,sad,2
controversial,sad,2
controversially,sad,2
convince,happy,1
convinced,happy,1
convinces,happy,1
convivial,happy,2
cool,happy,1
cornered,sad,2
corpse,sad,1
costly,sad,2
courage,happy,2
courageous,happy,2
courteous,happy,2
courtesy,happy,2
coward,sad,2
cowardly,sad,2
coziness,happy,2
cramp,sad,1
crap,sad,3
crash,sad,2
crazier,sad,2
craziest,sad,2
crazy,sad,2
creative,happy,2
crestfallen,sad,2
cried,sad,2
cries,sad,2
crime,sad,3
criminal,sad,3
criminals,sad,3
crisis,sad,3
critic,sad,2
criticism,sad,2
criticize,sad,2
criticized,sad,2
criticizes,sad,2
criticizing,sad,2
critics,sad,2
cruel,sad,3
cruelty,sad,3
crush,sad,1
crushed,sad,2
crushes,sad,1
crushing,sad,1
cry,sad,1
crying,sad,2
cunt,sad,5
curious,happy,1
curse,sad,1
cut,sad,1
cute,happy,2
cuts,sad,1
cutting,sad,1
cynic,sad,2
cynical,sad,2
cynicism,sad,2
damage,sad,3
damages,sad,3
damn,sad,4
damned,sad,4
damnit,sad,4
danger,sad,2
daredevil,happy,2
daring,happy,2
darkest,sad,2
darkness,sad,1
dauntless,happy,2
dead,sad,3
deadlock,sad,2
deafening,sad,1
dear,happy,2
dearly,happy,3
death,sad,2
debonair,happy,2
debt,sad,2
deceit,sad,3
deceitful,sad,3
deceive,sad,3
deceived,sad,3
deceives,sad,3
deceiving,sad,3
deception,sad,3
decisive,happy,1
dedicated,happy,2
defeated,sad,2
defect,sad,3
defects,sad,3
defender,happy,2
defenders,happy,2
defenseless,sad,2
defer,sad,1
deferring,sad,1
defiant,sad,1
deficit,sad,2
degrade,sad,2
degraded,sad,2
degrades,sad,2
dehumanize,sad,2
dehumanized,sad,2
dehumanizes,sad,2
dehumanizing,sad,2
deject,sad,2
dejected,sad,2
dejecting,sad,2
dejects,sad,2
delay,sad,1
delayed,sad,1
delight,happy,3
delighted,happy,3
delighting,happy,3
delights,happy,3
demand,sad,1
demanded,sad,1
demanding,sad,1
demands,sad,1
demonstration,sad,1
demoralized,sad,2
denied,sad,2
denier,sad,2
deniers,sad,2
denies,sad,2
denounce,sad,2
denounces,sad,2
deny,sad,2
denying,sad,2
depressed,sad,2
depressing,sad,2
derail,sad,2
derailed,sad,2
derails,sad,2
deride,sad,2
derided,sad,2
derides,sad,2
deriding,sad,2
derision,sad,2
desirable,happy,2
desire,happy,1
desired,happy,2
desirous,happy,2
despair,sad,3
despairing,sad,3
despairs,sad,3
desperate,sad,3
desperately,sad,3
despondent,sad,3
destroy,sad,3
